Contract;Date and time;kWh;Consumption code;Average temperature (°C);Temperature code
0312316267;2018-10-06 10:00:00;1.54;R;10;R
0312316267;2018-10-06 09:00:00;3.60;R;9;R
0312316267;2018-10-06 08:00:00;1.04;R;9;R
0312316267;2018-10-06 07:00:00;0.14;R;8;R
0312316267;2018-10-06 06:00:00;0.08;R;7;R
0312316267;2018-10-06 05:00:00;0.09;R;6;R
0312316267;2018-10-06 04:00:00;0.04;R;6;R
0312316267;2018-10-06 03:00:00;0.70;R;7;R
0312316267;2018-10-06 02:00:00;0.07;R;7;R
0312316267;2018-10-06 01:00:00;0.05;R;7;R
0312316267;2018-10-06 00:00:00;0.09;R;7;R
0312316267;2018-10-05 23:00:00;0.08;R;7;R
0312316267;2018-10-05 22:00:00;0.05;R;7;R
0312316267;2018-10-05 21:00:00;0.63;R;8;R
0312316267;2018-10-05 20:00:00;0.93;R;7;R
0312316267;2018-10-05 19:00:00;2.76;R;9;R
0312316267;2018-10-05 18:00:00;0.11;R;9;R
0312316267;2018-10-05 17:00:00;0.37;R;9;R
0312316267;2018-10-05 16:00:00;0.68;R;8;R
0312316267;2018-10-05 15:00:00;0.27;R;10;R
0312316267;2018-10-05 14:00:00;0.37;R;10;R
0312316267;2018-10-05 13:00:00;0.19;R;10;R
0312316267;2018-10-05 12:00:00;0.89;R;10;R
0312316267;2018-10-05 11:00:00;0.80;R;9;R
0312316267;2018-10-05 10:00:00;;N.A.;9;R
0312316267;2018-10-05 09:00:00;;N.A.;8;R
0312316267;2018-10-05 08:00:00;;N.A.;7;R
0312316267;2018-10-05 07:00:00;;N.A.;6;R
0312316267;2018-10-05 06:00:00;0.04;R;5;R
0312316267;2018-10-05 05:00:00;0.01;R;4;R
0312316267;2018-10-05 04:00:00;0.06;R;4;R
0312316267;2018-10-05 03:00:00;0.00;R;5;R
0312316267;2018-10-05 02:00:00;0.82;R;4;R
0312316267;2018-10-05 01:00:00;0.01;R;6;R
0312316267;2018-10-05 00:00:00;0.06;R;7;R
0312316267;2018-10-04 23:00:00;0.08;R;7;R
0312316267;2018-10-04 22:00:00;0.12;R;8;R
0312316267;2018-10-04 21:00:00;0.00;R;9;R
0312316267;2018-10-04 20:00:00;0.06;R;11;R
0312316267;2018-10-04 19:00:00;0.03;R;12;R
0312316267;2018-10-04 18:00:00;0.04;R;14;R
0312316267;2018-10-04 17:00:00;0.06;R;17;R
0312316267;2018-10-04 16:00:00;0.16;R;20;R
0312316267;2018-10-04 15:00:00;0.00;R;22;R
0312316267;2018-10-04 14:00:00;0.84;R;24;R
0312316267;2018-10-04 13:00:00;0.00;R;23;R
0312316267;2018-10-04 12:00:00;0.06;R;22;R
0312316267;2018-10-04 11:00:00;0.03;R;21;R
0312316267;2018-10-04 10:00:00;0.04;R;18;R
0312316267;2018-10-04 09:00:00;0.06;R;17;R
0312316267;2018-10-04 08:00:00;0.01;R;15;R
0312316267;2018-10-04 07:00:00;0.07;R;15;R
0312316267;2018-10-04 06:00:00;0.00;R;15;R
0312316267;2018-10-04 05:00:00;0.06;R;14;R
0312316267;2018-10-04 04:00:00;0.00;R;14;R
0312316267;2018-10-04 03:00:00;0.83;R;13;R
0312316267;2018-10-04 02:00:00;0.02;R;12;R
0312316267;2018-10-04 01:00:00;0.04;R;12;R
0312316267;2018-10-04 00:00:00;0.05;R;12;R
0312316267;2018-10-03 23:00:00;0.01;R;12;R
0312316267;2018-10-03 22:00:00;0.06;R;12;R
0312316267;2018-10-03 21:00:00;0.00;R;12;R
0312316267;2018-10-03 20:00:00;0.06;R;11;R
0312316267;2018-10-03 19:00:00;0.01;R;11;R
0312316267;2018-10-03 18:00:00;0.06;R;12;R
0312316267;2018-10-03 17:00:00;0.04;R;12;R
0312316267;2018-10-03 16:00:00;0.37;R;12;R
0312316267;2018-10-03 15:00:00;0.45;R;12;R
0312316267;2018-10-03 14:00:00;0.00;R;12;R
0312316267;2018-10-03 13:00:00;0.06;R;12;R
0312316267;2018-10-03 12:00:00;0.00;R;12;R
0312316267;2018-10-03 11:00:00;0.06;R;11;R
0312316267;2018-10-03 10:00:00;0.06;R;11;R
0312316267;2018-10-03 09:00:00;0.09;R;11;R
0312316267;2018-10-03 08:00:00;0.05;R;10;R
0312316267;2018-10-03 07:00:00;0.01;R;10;R
0312316267;2018-10-03 06:00:00;0.06;R;9;R
0312316267;2018-10-03 05:00:00;0.00;R;9;R
0312316267;2018-10-03 04:00:00;0.86;R;9;R
0312316267;2018-10-03 03:00:00;0.11;R;9;R
0312316267;2018-10-03 02:00:00;0.02;R;9;R
